Id,TypeName,Company,BuyValue,SellValue
1,Hà Nội SJC,PNJ,82700000,85200000
2,Giá vàng nữ trang Vàng 750 (18K),PNJ,61680000,63080000
3,Tây Nguyên SJC,PNJ,82700000,85200000
4,Đông Nam Bộ PNJ,PNJ,83200000,84200000
5,Đông Nam Bộ SJC,PNJ,82700000,85200000
6,Giá vàng nữ trang Nhẫn Trơn PNJ 999.9,PNJ,83200000,84200000
7,Giá vàng nữ trang Vàng nữ trang 999.9,PNJ,83100000,83900000
8,Giá vàng nữ trang Vàng nữ trang 999,PNJ,83020000,83820000
9,Giá vàng nữ trang Vàng nữ trang 99,PNJ,82160000,83160000
10,Giá vàng nữ trang Vàng 916 (22K),PNJ,76450000,76950000
11,Tây Nguyên PNJ,PNJ,83200000,84200000
12,Giá vàng nữ trang Vàng 680 (16.3K),PNJ,55800000,57200000
13,Giá vàng nữ trang Vàng 650 (15.6K),PNJ,53290000,54690000
14,Giá vàng nữ trang Vàng 610 (14.6K),PNJ,49930000,51330000
15,Giá vàng nữ trang Vàng 585 (14K),PNJ,47830000,49230000
16,Giá vàng nữ trang Vàng 416 (10K),PNJ,33650000,35050000
17,Giá vàng nữ trang Vàng 375 (9K),PNJ,30210000,31610000
18,Giá vàng nữ trang Vàng 333 (8K),PNJ,26440000,27840000
19,TPHCM PNJ,PNJ,83200000,84200000
20,Miền Tây SJC,PNJ,82700000,85200000
21,Miền Tây PNJ,PNJ,83200000,84200000
22,Đà Nẵng SJC,PNJ,82700000,85200000
23,Đà Nẵng PNJ,PNJ,83200000,84200000
24,Hà Nội PNJ,PNJ,83200000,84200000
25,TPHCM SJC,PNJ,82700000,85200000
