"Id","TypeName","BranchName","Buy","Sell","BuyValue","SellValue"
"1","Vàng SJC 1L, 10L, 1KG","Hồ Chí Minh","85,000","87,000","8.5E7","8.7E7"
"17","Vàng SJC 5 chỉ","Hồ Chí Minh","85,000","87,020","8.5E7","8.702E7"
"33","Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","Hồ Chí Minh","85,000","87,030","8.5E7","8.703E7"
"49","Vàng nhẫn SJC 99,99 1 chỉ, 2 chỉ, 5 chỉ","Hồ Chí Minh","85,000","86,500","8.5E7","8.65E7"
"65","Vàng nhẫn SJC 99,99 0.5 chỉ, 0.3 chỉ","Hồ Chí Minh","85,000","86,600","8.5E7","8.66E7"
"81","Nữ trang 99,99%","Hồ Chí Minh","84,900","86,100","8.49E7","8.61E7"
"97","Nữ trang 99%","Hồ Chí Minh","82,248","85,248","8.22475247524E7","8.52475247524E7"
"113","Nữ trang 75%","Hồ Chí Minh","61,731","64,731","6.17314581458E7","6.47314581458E7"
"129","Nữ trang 68%","Hồ Chí Minh","55,704","58,704","5.57038553855E7","5.87038553855E7"
"210","Nữ trang 61%","Hồ Chí Minh","49,676","52,676","4.96762526252E7","5.26762526252E7"
"145","Nữ trang 58,3%","Hồ Chí Minh","47,351","50,351","4.7351320132E7","5.0351320132E7"
"161","Nữ trang 41,7%","Hồ Chí Minh","33,057","36,057","3.3057290729E7","3.6057290729E7"
"2","Vàng SJC 1L, 10L, 1KG","Miền Bắc","85,000","87,000","8.5E7","8.7E7"
"13","Vàng SJC 1L, 10L, 1KG","Hạ Long","85,000","87,000","8.5E7","8.7E7"
"177","Vàng SJC 1L, 10L, 1KG","Hải Phòng","85,000","87,000","8.5E7","8.7E7"
"188","Vàng SJC 1L, 10L, 1KG","Miền Trung","85,000","87,000","8.5E7","8.7E7"
"7","Vàng SJC 1L, 10L, 1KG","Huế","85,000","87,000","8.5E7","8.7E7"
"10","Vàng SJC 1L, 10L, 1KG","Quảng Ngãi","85,000","87,000","8.5E7","8.7E7"
"4","Vàng SJC 1L, 10L, 1KG","Nha Trang","85,000","87,000","8.5E7","8.7E7"
"8","Vàng SJC 1L, 10L, 1KG","Biên Hòa","85,000","87,000","8.5E7","8.7E7"
"9","Vàng SJC 1L, 10L, 1KG","Miền Tây","85,000","87,000","8.5E7","8.7E7"
"16","Vàng SJC 1L, 10L, 1KG","Bạc Liêu","85,000","87,000","8.5E7","8.7E7"
"5","Vàng SJC 1L, 10L, 1KG","Cà Mau","85,000","87,000","8.5E7","8.7E7"
